Rain,Solar,Wind_Speed,Wind_Direction,Datetime
0.0,6.625000476837158,1.005811333656311,356.2239990234375,2025-07-28 19:37:21
0.0,4.25,0.0,356.9280090332031,2025-07-28 19:42:16
0.0,2.1875,0.0,356.9280090332031,2025-07-28 19:47:16
0.0,0.8125,1.005811333656311,356.9280090332031,2025-07-28 19:52:15
0.0,0.5625000596046448,0.0,357.6319885253906,2025-07-28 19:57:19
0.0,0.3125000298023224,0.0,356.9280090332031,2025-07-28 20:02:16
0.0,0.4375,1.005811333656311,356.9280090332031,2025-07-28 20:07:15
0.0,0.3125000298023224,0.0,356.57598876953125,2025-07-28 20:12:15
0.0,0.5,1.005811333656311,357.2799987792969,2025-07-28 20:17:15
0.0,0.25,0.0,355.87200927734375,2025-07-28 20:22:16
0.0,0.25,0.0,354.4639892578125,2025-07-28 20:27:16
0.0,0.3125000298023224,0.0,357.2799987792969,2025-07-28 20:32:16
0.0,0.25,1.005811333656311,354.4639892578125,2025-07-28 20:37:16
0.0,0.5,1.005811333656311,354.8160095214844,2025-07-28 20:42:16
0.0,0.5625000596046448,0.0,355.87200927734375,2025-07-28 20:47:15
0.0,0.5625000596046448,0.0,357.6319885253906,2025-07-28 20:52:15
0.0,0.25,0.0,355.87200927734375,2025-07-28 20:57:16
0.0,0.25,0.0,356.2239990234375,2025-07-28 21:02:15
0.0,0.5625000596046448,0.0,355.87200927734375,2025-07-28 21:07:16
0.0,0.375,0.0,357.6319885253906,2025-07-28 21:12:15
0.0,0.25,0.0,354.11199951171875,2025-07-28 21:17:15
0.0,0.5625000596046448,0.0,357.9840087890625,2025-07-28 21:22:15
0.0,0.25,0.0,357.6319885253906,2025-07-28 21:27:15
0.0,0.25,0.0,357.6319885253906,2025-07-28 21:32:15
0.0,0.1875,0.0,354.8160095214844,2025-07-28 21:37:15
0.0,0.5625000596046448,0.0,357.6319885253906,2025-07-28 21:42:15
0.0,0.25,0.0,357.6319885253906,2025-07-28 21:47:16
0.0,0.375,0.0,355.87200927734375,2025-07-28 21:52:16
0.0,0.25,0.0,354.8160095214844,2025-07-28 21:57:15
0.0,0.25,1.005811333656311,355.1679992675781,2025-07-28 22:02:16
0.0,0.375,0.0,355.87200927734375,2025-07-28 22:07:15
0.0,0.5,0.0,355.87200927734375,2025-07-28 22:12:15
0.0,0.5625000596046448,0.0,357.6319885253906,2025-07-28 22:17:15
0.0,0.5625000596046448,0.0,357.2799987792969,2025-07-28 22:22:15
